calID,spnumber,taxstat,family,species,star,horim_page,horim_end,star_geo,star_geod,star_geou,star_infa,star_infs,quartergrid,1grid,horimgrid,mgr_ocan,mgr_mainisl,mgr_smallisl,mgr_totalland,mgr_totalarea,qgr_mainisl,qgr_smallisl,qgr_totalland,1gr_mainisl,1gr_smallisl,1gr_totalland,infra
24254,24254,acc,Araceae,Amorphophallus kiusianus (Makino) Makino,GN,425,,GN,GN,GN,GN,GN,9,5,19,4798.521089,2623.574151,957.7976956,3581.371846,8379.892935,5610.669598,1208.557545,6819.227144,5610.669598,2286.217815,7896.887414,
24629,24629,acc,Araceae,Lysichiton camtschatcensis (L.) Schott,GN,426,,GN,GN,GN,GN,GN,85,38,180,12403.01534,56191.43628,555.4077281,56746.84401,69149.85935,136100.3801,1366.443879,137466.824,194320.8506,2118.836926,196439.6875,
24827,24827,acc,Eriocaulaceae,Eriocaulon atrum Nakai,GN,856,,GN,GN,GN,GN,GN,1,1,1,296.5495323,0,147.9031063,147.9031063,444.4526386,0,456.8272136,456.8272136,0.769177333,838.2893969,839.0585742,
24866,24866,acc,Eriocaulaceae,Eriocaulon takae Koidz.,BK,857,endemic,BK,BK,BK,BK,BK,1,1,1,0,407.4773953,0,407.4773953,407.4773953,2444.857386,0,2444.857386,9670.752586,0.00508528,9670.757671,
24870,24870,acc,Eriocaulaceae,Eriocaulon zyotanii Satake,BK,858,endemic,BK,BK,BK,BK,BK,1,1,1,403.1253734,0,22.5221911,22.5221911,425.6475645,0,55.86886507,55.86886507,747.8303999,199.6635024,947.4939023,
25260,25260,acc,Philydraceae,Philydrum lanuginosum Banks & Sol. ex Gaertn.,GN,427,,GN,GN,GN,GN,GN,14,12,21,6324.671388,1605.313055,1482.386139,3087.699194,9412.370582,3031.752758,3364.302931,6396.055688,14769.79054,4215.199553,18984.9901,
25816,25816,acc,Liliaceae,Clintonia udensis Trautv. & C.A.Mey.,GN,429,,GN,GN,GN,GN,GN,77,34,154,4375.019998,56375.11424,183.1770173,56558.29126,60933.31126,150706.5271,401.6510472,151108.1781,213054.4578,490.6255048,213545.0833,
25951,25951,acc,Liliaceae,Lilium japonicum Thunb.,BU/,859,endemic,BU,GN,GD,BU,BU,2,2,2,853.663767,0,37.4488819,37.4488819,891.1126489,0,82.06211077,82.06211077,0,114.0500972,114.0500972,
26369,26369,acc,Amaryllidaceae,Crinum asiaticum  var. japonicum Baker,GN,861,,GN,GN,GN,GN,GN,79,44,151,50143.51315,11106.38915,5483.718902,16590.10805,66733.62121,49748.68714,7086.147465,56834.83461,92569.23258,7737.399465,100306.632,infra
26741,26741,acc,Zingiberaceae,Alpinia intermedia Gagnep.,GN,438,,GN,GN,GN,GN,GN,52,31,87,30012.48399,3833.633472,4829.558343,8663.191814,38675.67581,19023.38142,6891.705372,25915.08679,37873.30484,7453.125161,45326.43,
26962,26962,acc,Burmanniaceae,Thismia abei (Akasawa) Hatus.,BK,439,endemic,BK,BK,BK,BK,BK,2,1,2,125.2576228,727.3960778,1.93739358,729.3334714,854.5910942,2759.595288,6.965149004,2766.560437,3161.655384,7.056595255,3168.71198,
