"species","spnumber","star","pref"
"Lagotis yesoensis Tatewaki",5164,"BK","Hokkaido"
"Viola alliariifolia Nakai",5615,"BK","Hokkaido"
"Gentiana nipponica Maxim.",4672,"BU","Hokkaido"
"Salix nummularia Andersson",9591,"GN","Hokkaido"
"Ilex rotunda Thunb.",5414,"GN","Kagawa"
"Ilex rotunda Thunb.",5414,"GN","Tokushima"
"Aralia elata (Miq.) Seem.",5738,"GN","Kagawa"
"Aralia elata (Miq.) Seem.",5738,"GN","Tokushima"
"Kadsura japonica (L.) Dunal",10258,"BU","Kagawa"
"Kadsura japonica (L.) Dunal",10258,"BU","Tokushima"
"Sorbus gracilis (Siebold et Zucc.) K. Koch",11296,"BU","Kagawa"
"Sorbus gracilis (Siebold et Zucc.) K. Koch",11296,"BU","Tokushima"
"Smilax china L.",29794,"GN","Kagawa"
"Smilax china L.",29794,"GN","Tokushima"
"Blechnum niponicum (Kunze) Makino",3531,"GN","Kagawa"
"Blechnum niponicum (Kunze) Makino",3531,"GN","Tokushima"
"Houttuynia cordata Thunb.",10614,"GN","Kagawa"
"Houttuynia cordata Thunb.",10614,"GN","Tokushima"
"Elaeagnus umbellata Thunb.",3200,"GN","Kagawa"
"Elaeagnus umbellata Thunb.",3200,"GN","Tokushima"
"Xanthium strumarium L.",4077,"GN","Kagawa"
"Xanthium strumarium L.",4077,"GN","Tokushima"
"Haloragis micrantha (Thunb.) R. Br. ex Sieb. et Zucc.",5723,"GN","Kagawa"
"Haloragis micrantha (Thunb.) R. Br. ex Sieb. et Zucc.",5723,"GN","Tokushima"
"Rosa multiflora Thunb. var. multiflora",11464,"GN","Kagawa"
"Rosa multiflora Thunb. var. multiflora",11464,"GN","Tokushima"
"Juniperus rigida Sieb. et Zucc.",3997,"GN","Kagawa"
"Juniperus rigida Sieb. et Zucc.",3997,"GN","Tokushima"
"Dendranthema japonicum (Makino) Kitam.",4242,"BU","Kagawa"
"Dendranthema japonicum (Makino) Kitam.",4242,"BU","Tokushima"
"Aria japonica Decne.",11298,"BU","Kagawa"
"Aria japonica Decne.",11298,"BU","Tokushima"
"Youngia japonica (L.) DC.",4062,"GN","Kagawa"
"Youngia japonica (L.) DC.",4062,"GN","Tokushima"
"Arundo donax L.",29395,"GN","Kagawa"
"Arundo donax L.",29395,"GN","Tokushima"
"Rapanaea neriifolia (Sieb. et Zucc.) Mez",4539,"GN","Kagawa"
"Rapanaea neriifolia (Sieb. et Zucc.) Mez",4539,"GN","Tokushima"
"Fatsia japonica (Thunb.) Decne. et Planch.",3228,"GN","Kagawa"
"Fatsia japonica (Thunb.) Decne. et Planch.",3228,"GN","Tokushima"
"Sophora flavescens Sol.",11598,"GN","Kagawa"
"Sophora flavescens Sol.",11598,"GN","Tokushima"
"Viburnum erosum Thunb. ex Murray",5217,"GN","Kagawa"
"Viburnum erosum Thunb. ex Murray",5217,"GN","Tokushima"
"Pteridium aquilinum (L.) Kuhn",3400,"GN","Kagawa"
"Pteridium aquilinum (L.) Kuhn",3400,"GN","Tokushima"
"Viburnum dilatatum Thunb. ex Murray",5219,"GN","Kagawa"
"Viburnum dilatatum Thunb. ex Murray",5219,"GN","Tokushima"
"Ficus erecta Thunb.",9780,"GN","Kagawa"
"Ficus erecta Thunb.",9780,"GN","Tokushima"
"Zanthoxylum schinifolium Sieb. et Zucc.",5343,"GN","Kagawa"
"Zanthoxylum schinifolium Sieb. et Zucc.",5343,"GN","Tokushima"
"Neolitsea aciculata (Blume) Koidz.",10302,"GN","Kagawa"
"Neolitsea aciculata (Blume) Koidz.",10302,"GN","Tokushima"
"Aletris spicata",30113,"GN","Kagawa"
"Aletris spicata",30113,"GN","Tokushima"
"Pueraria lobata (Willd.) Ohwi",11792,"GN","Kagawa"
"Pueraria lobata (Willd.) Ohwi",11792,"GN","Tokushima"
"Wisteria floribunda (Willd.) DC.",11647,"BU","Kagawa"
"Wisteria floribunda (Willd.) DC.",11647,"BU","Tokushima"
"Paederia foetida L.",4835,"GN","Kagawa"
"Paederia foetida L.",4835,"GN","Tokushima"
"Polygala japonica Houtt.",5362,"GN","Kagawa"
"Polygala japonica Houtt.",5362,"GN","Tokushima"
"Deutzia scabra Thunb. var. scabra",11195,"BU","Kagawa"
"Deutzia scabra Thunb. var. scabra",11195,"BU","Tokushima"
"Prunella vulgaris L. subsp. asiatica (Nakai) Hara",473,"GN","Kagawa"
"Prunella vulgaris L. subsp. asiatica (Nakai) Hara",473,"GN","Tokushima"
"Dryopteris erythrosora (D. C. Eaton) Kuntze",3684,"GN","Kagawa"
"Dryopteris erythrosora (D. C. Eaton) Kuntze",3684,"GN","Tokushima"
"Quercus variabilis Biume",9722,"GN","Kagawa"
"Quercus variabilis Biume",9722,"GN","Tokushima"
"Meliosma myriantha Sieb. et Zucc.",5406,"GN","Kagawa"
"Meliosma myriantha Sieb. et Zucc.",5406,"GN","Tokushima"
"Sphenomeris chinensis (L.) Maxon",3405,"GN","Kagawa"
"Sphenomeris chinensis (L.) Maxon",3405,"GN","Tokushima"
"Hylodesmum podocarpum (DC.) H.Ohashi et R.R.Mill var. oxyphyllum (DC.) H.Ohashi et R.R.Mill",11743,"GN","Kagawa"
"Hylodesmum podocarpum (DC.) H.Ohashi et R.R.Mill var. oxyphyllum (DC.) H.Ohashi et R.R.Mill",11743,"GN","Tokushima"
"Chloranthus serratus (Thunb.) Roem. et Schult.",10621,"GN","Kagawa"
"Chloranthus serratus (Thunb.) Roem. et Schult.",10621,"GN","Tokushima"
"Rumex japonicus Houtt.",9910,"GN","Kagawa"
"Rumex japonicus Houtt.",9910,"GN","Tokushima"
"Euonymus alatus (Thunb.) Sieb.",3186,"GN","Kagawa"
"Euonymus alatus (Thunb.) Sieb.",3186,"GN","Tokushima"
"Pourthiaea villosa (Thunb.) Decne. var. villosa",11300,"GN","Kagawa"
"Pourthiaea villosa (Thunb.) Decne. var. villosa",11300,"GN","Tokushima"
"Euryale ferox Salisb.",10609,"GN","Kagawa"
"Euryale ferox Salisb.",10609,"GN","Tokushima"
"Padus grayana (Maxim.) C.K.Schneid.",11327,"GN","Kagawa"
"Padus grayana (Maxim.) C.K.Schneid.",11327,"GN","Tokushima"
"Lysimachia japonica Thunb.",4553,"GN","Kagawa"
"Lysimachia japonica Thunb.",4553,"GN","Tokushima"
"Akebia quinata (Houtt.) Decne.",10579,"GN","Kagawa"
"Akebia quinata (Houtt.) Decne.",10579,"GN","Tokushima"
"Celastrus orbiculatus Thunb.",3188,"GN","Kagawa"
"Celastrus orbiculatus Thunb.",3188,"GN","Tokushima"
"Stachyurus praecox Sieb. et Zucc.",3210,"GN","Kagawa"
"Stachyurus praecox Sieb. et Zucc.",3210,"GN","Tokushima"
"Acalypha australis L.",5291,"GN","Kagawa"
"Acalypha australis L.",5291,"GN","Tokushima"
"Castanopsis cuspidata (Thunb.) Schotlky",9755,"GN","Kagawa"
"Castanopsis cuspidata (Thunb.) Schotlky",9755,"GN","Tokushima"
"Photinia glabra (Thunb.) Maxim.",11302,"GN","Kagawa"
"Photinia glabra (Thunb.) Maxim.",11302,"GN","Tokushima"
"Camellia japonica L.",10714,"GN","Kagawa"
"Camellia japonica L.",10714,"GN","Tokushima"
"Farfugium japonicum (L.) Kitam.",4106,"GN","Kagawa"
"Farfugium japonicum (L.) Kitam.",4106,"GN","Tokushima"
"Lyonia ovalifolia (Wall.) Drude var. elliptica Sieb. et Zucc.",328,"GN","Kagawa"
"Lyonia ovalifolia (Wall.) Drude var. elliptica Sieb. et Zucc.",328,"GN","Tokushima"
"Pieris japonica (Thunb.) D. Don ex G. Don",4489,"BU","Kagawa"
"Pieris japonica (Thunb.) D. Don ex G. Don",4489,"BU","Tokushima"
"Centella asiatica (L.) Urb.",5759,"GN","Kagawa"
"Centella asiatica (L.) Urb.",5759,"GN","Tokushima"
"Cocculus trilobus (Thunb.) DC.",10592,"GN","Kagawa"
"Cocculus trilobus (Thunb.) DC.",10592,"GN","Tokushima"
"Osmanthus heterophyllus (G. Don) P. S. Green",4634,"BU","Kagawa"
"Osmanthus heterophyllus (G. Don) P. S. Green",4634,"BU","Tokushima"
"Castanea crenata Siebold et Zucc.",9752,"GN","Kagawa"
"Castanea crenata Siebold et Zucc.",9752,"GN","Tokushima"
"Indigofera pseudotinctoria Matsum.",11687,"GN","Kagawa"
"Indigofera pseudotinctoria Matsum.",11687,"GN","Tokushima"
"Ulmus parvifolia Jacq.",9758,"GN","Kagawa"
"Ulmus parvifolia Jacq.",9758,"GN","Tokushima"
"Lotus corniculatus L. subsp. japonicus (Regel) H. Ohashi",11679,"GN","Kagawa"
"Lotus corniculatus L. subsp. japonicus (Regel) H. Ohashi",11679,"GN","Tokushima"
"Xylosma japonicum (Thunb.) A. Gray",5570,"GN","Kagawa"
"Xylosma japonicum (Thunb.) A. Gray",5570,"GN","Tokushima"
"Chelidonium majus L. subsp. asiaticum H. Hara",10801,"GN","Kagawa"
"Chelidonium majus L. subsp. asiaticum H. Hara",10801,"GN","Tokushima"
"Quercus serrata Murray",9727,"GN","Kagawa"
"Quercus serrata Murray",9727,"GN","Tokushima"
"Magnolia hypoleuca Siebold et Zucc.",10247,"GN","Kagawa"
"Magnolia hypoleuca Siebold et Zucc.",10247,"GN","Tokushima"
"Quercus acutissima Carruth.",9721,"GN","Kagawa"
"Quercus acutissima Carruth.",9721,"GN","Tokushima"
"Sapium japonicum (Sieb. et Zucc.) Pax et K. Hoffm.",5301,"GN","Kagawa"
"Sapium japonicum (Sieb. et Zucc.) Pax et K. Hoffm.",5301,"GN","Tokushima"
"Torreya nucifera (L.) Sieb. et Zucc.",4003,"GN","Kagawa"
"Torreya nucifera (L.) Sieb. et Zucc.",4003,"GN","Tokushima"
"Ternstroemia gymnanthera (Wight et Arn.) Bedd.",10727,"GN","Kagawa"
"Ternstroemia gymnanthera (Wight et Arn.) Bedd.",10727,"GN","Tokushima"
"Lespedeza buergeri Miq.",11745,"GN","Kagawa"
"Lespedeza buergeri Miq.",11745,"GN","Tokushima"
"Wisteria brachybotrys Siebold et Zucc.",11648,"BU","Kagawa"
"Wisteria brachybotrys Siebold et Zucc.",11648,"BU","Tokushima"
"Rhus trichocarpa Miq.",5373,"GN","Kagawa"
"Rhus trichocarpa Miq.",5373,"GN","Tokushima"
"Sanicula chinensis Bunge",5760,"GN","Kagawa"
"Sanicula chinensis Bunge",5760,"GN","Tokushima"
"Ficus nipponica Franch. et Sav.",9777,"GN","Kagawa"
"Ficus nipponica Franch. et Sav.",9777,"GN","Tokushima"
"Amelanchier asiatica (Siebold et Zucc.) Endl. ex Walp.",11311,"GN","Kagawa"
"Amelanchier asiatica (Siebold et Zucc.) Endl. ex Walp.",11311,"GN","Tokushima"
"Zanthoxylum piperitum (L.) DC.",5338,"GN","Kagawa"
"Zanthoxylum piperitum (L.) DC.",5338,"GN","Tokushima"
"Quercus aliena Blume",9731,"GN","Kagawa"
"Quercus aliena Blume",9731,"GN","Tokushima"
"Euonymus fortunei (Turcz.) Hand.-Mazz. var. radicans Sieb. ex Miq.",662,"GN","Kagawa"
"Euonymus fortunei (Turcz.) Hand.-Mazz. var. radicans Sieb. ex Miq.",662,"GN","Tokushima"
"Lindera praecox (Siebold et Zucc.) Blume",10282,"BU","Kagawa"
"Lindera praecox (Siebold et Zucc.) Blume",10282,"BU","Tokushima"
"Semiaquilegia adoxoides (DC.) Makino",10507,"GN","Kagawa"
"Semiaquilegia adoxoides (DC.) Makino",10507,"GN","Tokushima"
"Artemisia japonica Thunb. subsp. japonica",165,"GN","Kagawa"
"Artemisia japonica Thunb. subsp. japonica",165,"GN","Tokushima"
"Picrasma quassioides (D. Don) Benn.",5354,"GN","Kagawa"
"Picrasma quassioides (D. Don) Benn.",5354,"GN","Tokushima"
"Paraixeris denticulata (Houtt.) Nakai",4052,"GN","Kagawa"
"Paraixeris denticulata (Houtt.) Nakai",4052,"GN","Tokushima"
"Elaeagnus pungens Thunb.",5553,"GN","Kagawa"
"Elaeagnus pungens Thunb.",5553,"GN","Tokushima"
"Gnaphalium japonicum Thunb.",4271,"GN","Kagawa"
"Gnaphalium japonicum Thunb.",4271,"GN","Tokushima"
"Gleichenia japonica Spreng.",3342,"GN","Kagawa"
"Gleichenia japonica Spreng.",3342,"GN","Tokushima"
"Celtis sinensis Pers.",9767,"GN","Kagawa"
"Celtis sinensis Pers.",9767,"GN","Tokushima"
"Stellaria aquatica (L.) Scop.",10117,"GN","Kagawa"
"Stellaria aquatica (L.) Scop.",10117,"GN","Tokushima"
"Ilex integra Thunb.",5415,"GN","Kagawa"
"Ilex integra Thunb.",5415,"GN","Tokushima"
"Aster scaber Thunb.",4175,"GN","Kagawa"
"Aster scaber Thunb.",4175,"GN","Tokushima"
"Styrax japonicus Sieb. et Zucc.",4592,"GN","Kagawa"
"Styrax japonicus Sieb. et Zucc.",4592,"GN","Tokushima"
"Thalictrum minus L. var. hypoleucum (Siebold et Zucc.) Miq.",10543,"GN","Kagawa"
"Thalictrum minus L. var. hypoleucum (Siebold et Zucc.) Miq.",10543,"GN","Tokushima"
"Centipeda minima (L.) A. Br. et Asch.",4204,"GN","Kagawa"
"Centipeda minima (L.) A. Br. et Asch.",4204,"GN","Tokushima"
"Wisteria japonica Siebold et Zucc.",11645,"GN","Kagawa"
"Wisteria japonica Siebold et Zucc.",11645,"GN","Tokushima"
"Miricacalia palmata (Thunb.) Maxim.",4132,"GN","Kagawa"
"Miricacalia palmata (Thunb.) Maxim.",4132,"GN","Tokushima"
"Quercus phyllyreioides A. Gray",9720,"GN","Kagawa"
"Quercus phyllyreioides A. Gray",9720,"GN","Tokushima"
"Actinidia polygama (Siebold et Zucc.) Planch. ex Maxim.",10711,"GN","Kagawa"
"Actinidia polygama (Siebold et Zucc.) Planch. ex Maxim.",10711,"GN","Tokushima"
"Dendropanax trifidus (Thunb.) Makino ex H. Hara",5743,"GN","Kagawa"
"Dendropanax trifidus (Thunb.) Makino ex H. Hara",5743,"GN","Tokushima"
"Eurya japonica Thunb.",10738,"GN","Kagawa"
"Eurya japonica Thunb.",10738,"GN","Tokushima"
"Fraxinus sieboldiana Bl.",4625,"GN","Kagawa"
"Fraxinus sieboldiana Bl.",4625,"GN","Tokushima"
