scode,sampname,lat,ns,long,ew,rectotal,spcount,GHI,BK,GD,BU,GN,horim_end,sum_WE,CWE,ocean,mainisl,smallisl,totalland,totalarea
514,horim514,37.583333,n,141.125,e,58,58,31,0,0,6,52,6,0.099843,0.001721431,359.1536236,49.22442754,0,49.22442754,408.3780511
515,horim515,37.416667,n,136.625,e,0,0,0,0,0,0,0,0,0,0,408.5121488,0.763058325,0,0.763058325,409.2752071
516,horim516,37.416667,n,136.875,e,192,192,18,0,0,12,178,18,0.45736,0.002382083,267.219206,142.0457675,0.010233646,142.0560012,409.2752071
517,horim517,37.416667,n,137.125,e,180,180,25,0,0,15,164,22,0.431703,0.00239835,65.95348195,343.2859358,0.035789422,343.3217252,409.2752071
518,horim518,37.416667,n,137.375,e,97,97,15,0,0,5,91,7,0.201035,0.002072526,341.0103084,68.2367517,0.028147095,68.26489879,409.2752071
519,horim519,37.416667,n,138.375,e,15,15,0,0,0,0,14,0,0.029372,0.001958133,406.6890363,2.575929484,0.010241348,2.586170832,409.2752071
520,horim520,37.416667,n,138.625,e,107,107,2,0,0,1,105,5,0.207952,0.001943477,132.9393863,276.3281409,0.007679904,276.3358208,409.2752071
521,horim521,37.416667,n,138.875,e,113,113,35,0,1,10,100,17,0.250703,0.002218611,0,409.2752071,0,409.2752071,409.2752071
522,horim522,37.416667,n,139.125,e,120,120,55,0,2,16,100,28,0.372753,0.003106275,0,409.2752071,0,409.2752071,409.2752071
523,horim523,37.416667,n,139.375,e,59,59,46,0,0,9,49,12,0.129696,0.002198237,0,409.2752071,0,409.2752071,409.2752071
524,horim524,37.416667,n,139.625,e,67,67,27,0,0,6,60,8,0.142602,0.002128388,0,409.2752071,0,409.2752071,409.2752071
525,horim525,37.416667,n,139.875,e,138,138,45,0,2,15,120,23,0.323822,0.002346536,0,409.2752071,0,409.2752071,409.2752071
526,horim526,37.416667,n,140.125,e,43,43,27,0,1,1,41,3,0.081845,0.001903372,0,409.2752071,0,409.2752071,409.2752071
527,horim527,37.416667,n,140.375,e,120,120,32,0,0,13,107,18,0.240005,0.002000042,0,409.2752071,0,409.2752071,409.2752071
528,horim528,37.416667,n,140.625,e,197,197,43,0,1,25,167,36,0.554609,0.002815274,0,409.2752071,0,409.2752071,409.2752071
529,horim529,37.416667,n,140.875,e,76,76,40,0,1,7,67,11,0.140244,0.001845316,0,409.2752071,0,409.2752071,409.2752071
530,horim530,37.416667,n,141.125,e,71,71,21,0,0,5,66,7,0.124968,0.001760113,344.9188617,64.31797176,0.038373694,64.35634545,409.2752071
531,horim531,37.25,n,136.625,e,85,85,3,0,0,1,83,2,0.17942,0.002110824,347.2933453,62.84731292,0.02819854,62.87551146,410.1688567
