tag,del,spnumber,taxstat,family,species,genus,sp1,author1,rank1,sp2,author2,rank2,sp3,author3,hybrid,spquick,star,star_geo,star_geod,star_geou,star_infa,star_infs,tdwgtotals,origin,kew_fam,apg_fam,apg_order,moss
"*"," ",47,"acc","Woodsiaceae","Athyrium yokoscense (Franch. et Sav.) H. Christ var. alpicola","Athyrium","yokoscense","(Franch. et Sav.) H. Christ","var.","alpicola","","","",""," ","ATHYOK1","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",48,"acc","Woodsiaceae","Athyrium iseanum Rosenst. var. angustisectum","Athyrium","iseanum","Rosenst.","var.","angustisectum","","","",""," ","ATHISE","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",49,"acc","Woodsiaceae","Athyrium deltoidofrons Makino f. acutissimum Kodama","Athyrium","deltoidofrons","Makino","f.","acutissimum","Kodama","","",""," ","ATHDEL","f.","f.","f.","f.","f.","f.",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",50,"acc","Woodsiaceae","Athyrium deltoidofrons Makino f. ohmurae","Athyrium","deltoidofrons","Makino","f.","ohmurae","","","",""," ","ATHDEL1","f.","f.","f.","f.","f.","f.",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",51,"acc","Woodsiaceae","Athyrium neglectum Seriz. subsp. australe","Athyrium","neglectum","Seriz.","subsp.","australe","","","",""," ","ATHNEG","GD","GD","GD","GD","BU","BU",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",52,"acc","Woodsiaceae","Athyrium otophorum (Miq.) Koidz. var. okanum","Athyrium","otophorum","(Miq.) Koidz.","var.","okanum","","","",""," ","ATHOTO","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",53,"acc","Woodsiaceae","Athyrium otophorum (Miq.) Koidz. f. viridescens","Athyrium","otophorum","(Miq.) Koidz.","f.","viridescens","","","",""," ","ATHOTO1","f.","f.","f.","f.","f.","f.",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",54,"acc","Woodsiaceae","Athyrium subrigescens (Hayata) Hayata ex H. It{o^} f. pubigerum","Athyrium","subrigescens","(Hayata) Hayata ex H. It{o^}","f.","pubigerum","","","",""," ","ATHSUB","f.","f.","f.","f.","f.","f.",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",55,"acc","Woodsiaceae","Athyrium vidalii (Franch. et Sav.) Nakai f. pulvigerum","Athyrium","vidalii","(Franch. et Sav.) Nakai","f.","pulvigerum","","","",""," ","ATHVID","f.","f.","f.","f.","f.","f.",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",56,"acc","Woodsiaceae","Athyrium vidalii (Franch. et Sav.) Nakai f. viridans","Athyrium","vidalii","(Franch. et Sav.) Nakai","f.","viridans","","","",""," ","ATHVID1","f.","f.","f.","f.","f.","f.",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",57,"acc","Woodsiaceae","Athyrium wardii (Hook.) Makino var. inadae","Athyrium","wardii","(Hook.) Makino","var.","inadae","","","",""," ","ATHWAR","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",58,"acc","Woodsiaceae","Athyrium wardii (Hook.) Makino f. chloropodum","Athyrium","wardii","(Hook.) Makino","f.","chloropodum","","","",""," ","ATHWAR1","f.","f.","f.","f.","f.","f.",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",59,"acc","Woodsiaceae","Cornopteris opaca (D. Don) Tagawa f. glabrescens","Cornopteris","opaca","(D. Don) Tagawa","f.","glabrescens","","","",""," ","COROPA","f.","f.","f.","f.","f.","f.",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",60,"acc","Woodsiaceae","Deparia pycnosora (H. Christ) M. Kato var. albosquamata","Deparia","pycnosora","(H. Christ) M. Kato","var.","albosquamata","","","",""," ","DEPPYC","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",61,"acc","Woodsiaceae","Deparia pycnosora (H. Christ) M. Kato var. mucilagina","Deparia","pycnosora","(H. Christ) M. Kato","var.","mucilagina","","","",""," ","DEPPYC1","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",62,"acc","Woodsiaceae","Deparia conilii (Franch. et Sav.) M. Kato var. angustata Nakai","Deparia","conilii","(Franch. et Sav.) M. Kato","var.","angustata","Nakai","","",""," ","DEPCON","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",63,"acc","Woodsiaceae","Deparia pseudoconilii (Seriz.) Seriz. var. subdeltoidofrons Seriz.","Deparia","pseudoconilii","(Seriz.) Seriz.","var.","subdeltoidofrons","Seriz.","","",""," ","DEPPSE","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",64,"acc","Woodsiaceae","Deparia petersenii (Kunze) M. Kato var. yakusimensis H. It{o^}","Deparia","petersenii","(Kunze) M. Kato","var.","yakusimensis","H. It{o^}","","",""," ","DEPPET","GD","GD","GD","GD","BU","BU",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",65,"acc","Woodsiaceae","Diplazium donianum (Mett.) Tardieu var. aphanoneuron Ohwi","Diplazium","donianum","(Mett.) Tardieu","var.","aphanoneuron","Ohwi","","",""," ","DIPDON","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",66,"acc","Woodsiaceae","Diplazium wichurae (Mett.) Diels var. amabile","Diplazium","wichurae","(Mett.) Diels","var.","amabile","","","",""," ","DIPWIC","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",67,"acc","Woodsiaceae","Diplazium mettenianum (Miq.) C. Chr. var. fauriei H. Christ","Diplazium","mettenianum","(Miq.) C. Chr.","var.","fauriei","H. Christ","","",""," ","DIPMET","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",68,"acc","Woodsiaceae","Diplazium mettenianum (Miq.) C. Chr. var. tenuifolium","Diplazium","mettenianum","(Miq.) C. Chr.","var.","tenuifolium","","","",""," ","DIPMET1","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",69,"acc","Woodsiaceae","Diplazium dilatatum Blume var. heterolepis","Diplazium","dilatatum","Blume","var.","heterolepis","","","",""," ","DIPDIL","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",70,"acc","Woodsiaceae","Diplazium virescens Kunze var. conterminum H. Christ","Diplazium","virescens","Kunze","var.","conterminum","H. Christ","","",""," ","DIPVIR","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",71,"acc","Woodsiaceae","Diplazium virescens Kunze var. okinawaense Tagawa","Diplazium","virescens","Kunze","var.","okinawaense","Tagawa","","",""," ","DIPVIR1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",72,"acc","Woodsiaceae","Diplazium kawakamii Hayata var. subglabrata","Diplazium","kawakamii","Hayata","var.","subglabrata","","","",""," ","DIPKAW","GD","GD","GD","GD","BU","GD",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",73,"acc","Polypodiaceae","Lepisorus ussuriensis (Regel et Maack) Ching var. distans Makino","Lepisorus","ussuriensis","(Regel et Maack) Ching","var.","distans","Makino","","",""," ","LEPUSS","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Polypodiaceae","","",""
"*"," ",74,"acc","Cryptomeriaceae","Cryptomeria japonica (L. f.) D. Don var. radicans","Cryptomeria","japonica","(L. f.) D. Don","var.","radicans","","","",""," ","CRYJAP","BK!","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Taxodiaceae","","",""
"*"," ",75,"acc","Pinaceae","Abies sachalinensis (F. Schmidt) Mast. var. mayriana","Abies","sachalinensis","(F. Schmidt) Mast.","var.","mayriana","","","",""," ","ABISAC","GD","GD","GD","GD","BU","BU",2,"Flora of Japan Vol. I","Pinaceae","","",""
"*"," ",76,"acc","Pinaceae","Abies veitchii Lindl. var. shikokiana Nakai","Abies","veitchii","Lindl.","var.","shikokiana","Nakai","","",""," ","ABIVEI","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Pinaceae","","",""
"*"," ",77,"acc","Pinaceae","Larix gmelinii Rupr. ex Gordon var. japonica Maxim. ex Regel","Larix","gmelinii","Rupr. ex Gordon","var.","japonica","Maxim. ex Regel","","",""," ","LARGME","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Pinaceae","","",""
"*"," ",78,"acc","Pinaceae","Picea alcoquiana (Veitch ex Lindl.) Carri{e`}re var. reflexa Shiras. et Koyama","Picea","alcoquiana","(Veitch ex Lindl.) Carri{e`}re","var.","reflexa","Shiras. et Koyama","","",""," ","PICALC","BK","BK","BK","BK","GD","BK",1,"Flora of Japan Vol. I","Pinaceae","","",""
"*"," ",79,"acc","Pinaceae","Picea jezoensis Carri{e`}re var. hondoensis Mayr","Picea","jezoensis","Carri{e`}re","var.","hondoensis","Mayr","","",""," ","PICJEZ","GD!","GD","GD","GD","BU","BU",0,"Flora of Japan Vol. I","Pinaceae","","",""
"*"," ",80,"acc","Pinaceae","Pinus parviflora Sieb. et Zucc. var. pentaphylla Mayr","Pinus","parviflora","Sieb. et Zucc.","var.","pentaphylla","Mayr","","",""," ","PINPAR","GD","GD","GD","GD","BU","BU",1,"Flora of Japan Vol. I","Pinaceae","","",""
"*"," ",81,"acc","Cupressaceae","Thujopsis dolabrata (L. f.) Sieb. et Zucc. var. hondae Makino","Thujopsis","dolabrata","(L. f.) Sieb. et Zucc.","var.","hondae","Makino","","",""," ","THUDOL","GD","GD","GD","GD","BU","GD",1,"Flora of Japan Vol. I","Cupressaceae","","",""
"*"," ",82,"acc","Cupressaceae","Juniperus communis L. var. hondoensis","Juniperus","communis","L.","var.","hondoensis","","","",""," ","JUNCOM","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Cupressaceae","","",""
"*"," ",83,"acc","Cupressaceae","Sabina chinensis (L.) Antoine var. sargentii Henry","Sabina","chinensis","(L.) Antoine","var.","sargentii","Henry","","",""," ","SABCHI","GN!","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Cupressaceae","","",""
"*"," ",84,"acc","Cupressaceae","Sabina chinensis (L.) Antoine var. procumbens Miq.","Sabina","chinensis","(L.) Antoine","var.","procumbens","Miq.","","",""," ","SABCHI1","BK!","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Cupressaceae","","",""
"*"," ",85,"acc","Podocarpaceae","Podocarpus macrophyllus (Thunb.) D. Don var. maki","Podocarpus","macrophyllus","(Thunb.) D. Don","var.","maki","","","",""," ","PODMAC","GN!","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Podocarpaceae","","",""
"*"," ",86,"acc","Cephalotaxaceae","Cephalotaxus harringtonia (Knight ex Forbes) K. Koch var. nana Nakai","Cephalotaxus","harringtonia","(Knight ex Forbes) K. Koch","var.","nana","Nakai","","",""," ","CEPHAR","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Cephalotaxaceae","","",""
"*"," ",87,"acc","Taxaceae","Torreya nucifera (L.) Sieb. et Zucc. var. radicans","Torreya","nucifera","(L.) Sieb. et Zucc.","var.","radicans","","","",""," ","TORNUC","GD!","GD","GD","GD","BU","BU",0,"Flora of Japan Vol. I","Taxaceae","","",""
"*"," ",88,"acc","Taxaceae","Taxus cuspidata Sieb. et Zucc. var. nana","Taxus","cuspidata","Sieb. et Zucc.","var.","nana","","","",""," ","TAXCUS","BU","BU","BU","BU","GN","BU",1,"Flora of Japan Vol. I","Taxaceae","","",""
"*"," ",89,"acc","Asteraceae","Picris hieracioides L. subsp. japonica (Thunb.) Krylov","Picris","hieracioides","L.","subsp.","japonica","(Thunb.) Krylov","","",""," ","PICHIE","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. IIIb","Compositae","Asteraceae","Asterales",""
"*"," ",90,"acc","Asteraceae","Picris hieracioides L. var. akaishiensis","Picris","hieracioides","L.","var.","akaishiensis","","","",""," ","PICHIE1","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. IIIb","Compositae","Asteraceae","Asterales",""
"*"," ",91,"acc","Asteraceae","Picris hieracioides L. var. litoralis","Picris","hieracioides","L.","var.","litoralis","","","",""," ","PICHIE2","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. IIIb","Compositae","Asteraceae","Asterales",""
"*"," ",92,"acc","Asteraceae","Picris hieracioides L. subsp. kamtschatica Ledeb.","Picris","hieracioides","L.","subsp.","kamtschatica","Ledeb.","","",""," ","PICHIE3","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. IIIb","Compositae","Asteraceae","Asterales",""
"*"," ",93,"acc","Asteraceae","Lactuca sororia Miq. var. pilipes Migo","Lactuca","sororia","Miq.","var.","pilipes","Migo","","",""," ","LACSOR","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. IIIb","Compositae","Asteraceae","Asterales",""
