tag,del,spnumber,taxstat,synof,family,species,genus,sp1,homonym,author1,rank1,sp2,author2,rank2,sp3,author3,star,tdwgtotals,origin,star_geo,star_geod,star_geou,star_infa,star_infs,horim_page,horim_uniq,kewstar,xtdwgtotal,tdwgareas
*, ,622,acc,0,Euphorbiaceae,Euphorbia pekinensis Rupr. subsp. asoensis,Euphorbia,pekinensis,0,Rupr.,subsp.,asoensis,,,,,BK,1,Flora of Japan Vol. IIc,BK,BK,BK,GD,GD,0,,BK,1,37.894518
*, ,744,acc,0,Cornaceae,Aucuba japonica Thunb. var. ovoidea,Aucuba,japonica,0,Thunb.,var.,ovoidea,,,,,BU,2,Flora of Japan Vol. IIc,BU,BU,BU,GN,BU,0,,BU,2,38.084234
*, ,745,acc,0,Cornaceae,Aucuba japonica Thunb. var. borealis Miyabe et Kud{o^},Aucuba,japonica,0,Thunb.,var.,borealis,Miyabe et Kud{o^},,,,BU,1,Flora of Japan Vol. IIc,BU,BU,BU,GN,BU,0,,BU,1,37.894518
*, ,747,acc,0,Cornaceae,Helwingia japonica (Thunb.) F. Dietr. subsp. liukiuensis Hatus.,Helwingia,japonica,0,(Thunb.) F. Dietr.,subsp.,liukiuensis,Hatus.,,,,BK,1,Flora of Japan Vol. IIc,BK,BK,BK,GD,GD,0,,BK,1,0.189716
*, ,751,acc,0,Araliaceae,Aralia cordata Thunb. var. sachalinensis Regel,Aralia,cordata,0,Thunb.,var.,sachalinensis,Regel,,,,BU,2,Flora of Japan Vol. IIc,BU,BU,BU,GN,BU,0,,BU/,2,47.427957
*, ,917,syn,3971,Pinaceae,Abies homolepis  var. umbellata (Mayr) E. H. Wilson,Abies,homolepis,0,,var.,umbellata,(Mayr) E. H. Wilson,,,,!,1,Flora of Japan Vol. I,,,,,!,0,,BU,0,0
*, ,920,syn,3979,Pinaceae,Picea alcoquiana (Veitch ex Lindl.) Carri{e`}re var. acicularis Shiras. et Koyama,Picea,alcoquiana,0,(Veitch ex Lindl.) Carri{e`}re,var.,acicularis,Shiras. et Koyama,,,,BK!,1,Flora of Japan Vol. I,BK,BK,BK,BK,!,0,,BK,0,0
*, ,922,syn,79,Pinaceae,Picea jezoensis (Sieb. et Zucc.) Carri{e`}re subsp. hondoensis Mayr,Picea,jezoensis,0,(Sieb. et Zucc.) Carri{e`}re,subsp.,hondoensis,Mayr,,,,GD!,1,Flora of Japan Vol. I,GD,GD,GD,GD,!,0,,BK,0,0
*, ,929,syn,3994,Cupressaceae,Juniperus taxifolia Hook. et Arn. var. lutchuensis Koidz.,Juniperus,taxifolia,0,Hook. et Arn.,var.,lutchuensis,Koidz.,,,,!,2,Flora of Japan Vol. I,,,,,!,0,,BU,0,0
*, ,931,syn,3996,Cupressaceae,Juniperus communis L. var. saxatilis,Juniperus,communis,0,L.,var.,saxatilis,,,,,!,59,Flora of Japan Vol. I,,,,,!,0,,GN,0,0
*, ,932,syn,3996,Cupressaceae,Juniperus communis L. var. nipponica Maxim.,Juniperus,communis,0,L.,var.,nipponica,Maxim.,,,,!,5,Flora of Japan Vol. I,,,,,!,0,,GN,0,0
*, ,935,syn,83,Cupressaceae,Juniperus chinensis L. var. sargentii,Juniperus,chinensis,0,L.,var.,sargentii,,,,,!,7,Flora of Japan Vol. I,,,,,!,0,,GN,0,0
*, ,1581,syn,4851,Rubiaceae,Galium bungei Steud. var. setuliflorum A. GrayA. Gray,Galium,bungei,0,Steud.,var.,setuliflorum,A. GrayA. Gray,,,,!,4,Flora of Japan IIIa,,,,,!,0,,GN,0,0
*, ,1620,syn,4896,Verbenaceae,Vitex trifolia L. subsp. litoralis,Vitex,trifolia,0,L.,subsp.,litoralis,,,,,!,29,Flora of Japan IIIa,,,,,!,0,,GN,0,0
*, ,1624,syn,4923,Labiatae,Ajuga yesoensis Maxim. var. tsukubana,Ajuga,yesoensis,0,Maxim.,var.,tsukubana,,,,,!,1,Flora of Japan IIIa,,,,,!,0,,BU,0,0
*, ,1628,syn,461,Labiatae,Mentha arvensis L. var. piperascens,Mentha,arvensis,0,L.,var.,piperascens,,,,,!,15,Flora of Japan IIIa,,,,,!,0,,GN,0,0
*, ,1634,syn,4939,Labiatae,Lycopus lucidus Turcz. var. hirtus,Lycopus,lucidus,0,Turcz.,var.,hirtus,,,,,!,9,Flora of Japan IIIa,,,,,!,0,,GN,0,0
*, ,1695,syn,475,Labiatae,Comanthosphace japonica (Miq.) S. Moore var. radicans,Comanthosphace,japonica,0,(Miq.) S. Moore,var.,radicans,,,,,!,1,Flora of Japan IIIa,,,,,!,0,,BU,0,0
*, ,2946,syn,3226,Araliaceae,Aralia elata (Miq.) Seem. var. ryukyuensis,Aralia,elata,0,(Miq.) Seem.,var.,ryukyuensis,,,,,!,2,Flora of Japan Vol. IIc,,,,,!,0,,BK,0,0
*, ,2949,syn,750,Araliaceae,Aralia elata (Miq.) Seem. var. inermis Yanagita,Aralia,elata,0,(Miq.) Seem.,var.,inermis,Yanagita,,,,!,1,Flora of Japan Vol. IIc,,,,,!,0,,BK,0,0
*, ,2974,syn,757,Araliaceae,Kalopanax septemlobus (Thunb.) Koidz. subsp. lutchuensis Nakai,Kalopanax,septemlobus,0,(Thunb.) Koidz.,subsp.,lutchuensis,Nakai,,,,!,2,Flora of Japan Vol. IIc,,,,,!,0,,GD,0,0
*, ,3138,acc,0,Pinaceae,Abies veitchii Lindl.,Abies,veitchii,0,Lindl.,,,,,,,BU,1,Flora of Japan Vol. I,BU,BU,BU,BU,BU,8,*,BU,1,37.894518
*, ,3139,acc,0,Pinaceae,Picea jezoensis Carri{e`}re,Picea,jezoensis,0,Carri{e`}re,,,,,,,GN,7,Flora of Japan Vol. I,GN,GN,GN,GN,GN,13,*,GN,7,480.52211
*, ,3140,acc,0,Taxaceae,Taxus cuspidata Sieb. et Zucc.,Taxus,cuspidata,0,Sieb. et Zucc.,,,,,,,GN,7,Flora of Japan Vol. I,GN,GN,GN,GN,GN,0,,GN,7,295.003077
*, ,3168,acc,0,Labiatae,Teucrium viscidum Bl.,Teucrium,viscidum,0,Bl.,,,,,,,GN,23,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,23,1136.944921
*, ,3169,acc,0,Labiatae,Clinopodium chinense (Benth.) O. Kuntze,Clinopodium,chinense,0,(Benth.) O. Kuntze,,,,,,,GN,13,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,13,626.799187
*, ,3170,acc,0,Labiatae,Perilla frutescens (L.) Britton,Perilla,frutescens,0,(L.) Britton,,,,,,,GN,17,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,60,809.771591
*, ,3173,acc,0,Euphorbiaceae,Glochidion zeylanicum (Gaertn.) A. Juss.,Glochidion,zeylanicum,0,(Gaertn.) A. Juss.,,,,,,,GN,27,Flora of Japan Vol. IIc,GN,GN,GN,GN,GN,163,*,GN,27,1210.625026
*, ,3174,acc,0,Euphorbiaceae,Euphorbia watanabei Makino,Euphorbia,watanabei,0,Makino,,,,,,,BK,1,Flora of Japan Vol. IIc,BK,BK,BK,BK,BK,0,,BU,1,37.894518
*, ,3176,acc,0,Daphniphyllaceae,Daphniphyllum macropodum Miq.,Daphniphyllum,macropodum,0,Miq.,,,,,,,GN,5,Flora of Japan Vol. IIc,GN,GN,GN,GN,GN,158,*,GN,5,315.737307
*, ,3216,acc,0,Myrtaceae,Syzygium buxifolium Hook. et Arn.,Syzygium,buxifolium,0,Hook. et Arn.,,,,,,,GN,5,Flora of Japan Vol. IIc,GN,GN,GN,GN,GN,690,*,GN,5,200.094408
*, ,3223,acc,0,Alangiaceae,Alangium platanifolium (Sieb. et Zucc.) Harms,Alangium,platanifolium,0,(Sieb. et Zucc.) Harms,,,,,,,GN,6,Flora of Japan Vol. IIc,GN,GN,GN,GN,GN,0,,GN,6,444.546688
*, ,3224,acc,0,Cornaceae,Aucuba japonica Thunb.,Aucuba,japonica,0,Thunb.,,,,,,,BU,4,Flora of Japan Vol. IIc,BU,BU,BU,BU,BU,0,,GN,7,64.055494
*, ,3225,acc,0,Cornaceae,Helwingia japonica (Thunb.) F. Dietr.,Helwingia,japonica,0,(Thunb.) F. Dietr.,,,,,,,GN,9,Flora of Japan Vol. IIc,GN,GN,GN,GN,GN,0,,GN,9,499.373289
*, ,3227,acc,0,Araliaceae,Aralia cordata Thunb.,Aralia,cordata,0,Thunb.,,,,,,,GN,9,Flora of Japan Vol. IIc,GN,GN,GN,GN,GN,693,*,GN,9,410.659336
*, ,3228,acc,0,Araliaceae,Fatsia japonica (Thunb.) Decne. et Planch.,Fatsia,japonica,0,(Thunb.) Decne. et Planch.,,,,,,,GN,3,Flora of Japan Vol. IIc,GN,GN,GN,GN,GN,251,*,GN,8,60.852416
